value	group
2.99360591107294	1
2.47090596779739	1
1.91583672462406	1
-0.878152843615082	1
4.44942133317532	1
2.86966355619896	1
5.8636285326214	1
4.70421885448016	1
2.93845255020147	1
3.76772462401281	1
1.21762346698718	1
2.06245187406029	1
0.920381522497401	1
3.35037924356454	1
4.62087000863423	1
5.13746460418495	1
3.0341764393243	1
3.85582521905828	1
1.44132788425165	1
2.61527797550212	1
0.180427469869962	1
2.94656040217078	1
2.76908692570234	1
0.25213626212205	1
2.14815881100879	1
2.98783209479054	1
5.00031040396011	1
2.8223738968965	1
0.711118917215019	1
3.15921425628234	1
3.5530603194543	1
4.56092960230297	1
5.52429244989318	1
-0.599686874934854	1
4.08129288465259	1
3.79468697206099	1
4.04814620591043	1
-0.858606062569169	1
2.12082368343252	1
2.21778649893252	1
3.85719980958314	1
3.28980027413447	1
1.53031008832505	1
2.19258204103305	1
0.866219009752978	1
1.45606922200493	1
3.31329347339547	1
3.10973447501641	1
2.66414420567237	1
4.35802518264555	1
2.00912900918498	1
3.5228413714915	1
1.0919757796233	1
2.85484967763707	1
0.352481951064512	1
4.83284347868289	1
2.2682058377255	1
2.85516410778381	1
4.02302940751134	1
1.60335486701152	1
6.19135322196823	1
7.33614179794734	1
2.15600657399532	1
1.86664656324025	1
-0.20702125944074	1
3.90162594364994	1
3.54108031574132	1
2.91570797847595	1
5.15322377241824	1
0.709282043983484	1
6.18576710203159	1
3.03168199646889	1
3.3954454581975	1
0.229393052996755	1
4.61390505035133	1
4.65478835966955	1
5.93165211569892	1
4.37311513088048	1
2.36558674472339	1
3.82496323432172	1
4.46995754948911	1
2.13790016957557	1
4.32331326207094	1
3.76389209295007	1
4.52359843850373	1
3.91561539628164	1
-1.28980824734045	1
3.09271974794792	1
0.780029857900663	1
1.84856208172474	1
2.90618082242155	1
2.36243386269255	1
3.08065922497562	1
1.12512789631002	1
4.30079668873607	1
-0.670341347228842	1
-2.5556161510715	1
2.03504714615112	1
0.458996015117989	1
-2.10046410914123	1
0.937342658636952	2
-2.70741535778753	2
1.96059565457308	2
2.45500661269022	2
4.89718108785128	2
-1.43035720712854	2
1.97687387864304	2
-3.45519009544068	2
2.02999484128423	2
1.04461370319433	2
-3.41115019848321	2
-1.03953764845006	2
8.64011490398024	2
5.35931572273796	2
0.336136414088577	2
3.59015827915077	2
1.75552213997699	2
-0.641392502090654	2
-2.65143412910186	2
2.02783708088679	2
-5.24511883923314	2
-2.32075375472393	2
-2.58201599110986	2
-1.22966164915884	2
-1.23630700603318	2
0.61363215801168	2
1.59599456309045	2
-0.345260839282849	2
0.366234318590416	2
0.182408065257296	2
0.457269293362221	2
0.887808762402184	2
1.32866908364891	2
5.25071075318133	2
2.63645152243935	2
1.8551102292473	2
2.44245156821659	2
-1.08833698556135	2
1.64758727516255	2
1.96611021426448	2
1.95436210514504	2
-3.04057336738176	2
3.47084984641211	2
1.69579033901519	2
-2.31295425612772	2
-0.386072309439218	2
0.922953868137141	2
-0.33637471062963	2
3.24670432821242	2
-0.567516138932382	2
2.00632287211749	2
1.35632778367419	2
-0.0044311352323023	2
1.9975781373448	2
2.60068939300368	2
-2.78325119791114	2
5.15836119619463	2
-0.779132405091983	2
4.08603986110018	2
6.50529477361602	2
5.20500540058671	2
5.61065725277921	2
2.63493822207499	2
0.528203801424618	2
4.2767821980339	2
-1.77218022313823	2
-1.83791307671901	2
-4.86213768225298	2
4.24063925941451	2
1.41909248426086	2
3.36351116744682	2
-1.91829783384667	2
-0.538841841404681	2
1.77256147690409	2
5.99902076081231	2
2.30415778724722	2
4.20193179406185	2
-1.66553556841301	2
7.57331362754366	2
1.47722340311523	2
-0.630791491879623	2
-1.98791194930328	2
0.173064895703534	2
3.04788004826433	2
-0.498536876924128	2
3.33782350922236	2
5.63514273327746	2
2.63777661361105	2
-0.687998100005219	2
-1.91209481413796	2
-0.0498873602136774	2
1.05767647944824	2
3.9831214017985	2
-2.29837377253047	2
3.56140731219668	2
-0.596688489232805	2
-1.0528158094939	2
2.31683800547016	2
3.66118100875448	2
1.87082768612033	2
0.851521894827134	2
-5.4677504454388	2
0.69853334479541	2
-2.02669366707961	2
-1.30808440786368	2
3.85151770440706	2
-5.19744511495197	2
2.85993330393925	2
8.33692618106637	2
-2.44314016078787	2
7.54066365711894	2
5.33850735620054	2
-2.34946020850725	2
-2.22715943992933	2
1.97141459007327	2
-5.07692746572921	2
2.60327206645091	2
-5.78262637779574	2
1.10738461887486	2
-1.79678899655834	2
2.17529292267731	2
4.0604588760548	2
5.04277228110134	2
3.89786382984912	2
-2.72174958025445	2
-2.93108632102558	2
-2.51741534429922	2
2.29467024896997	2
1.73437660276837	2
2.83115730337221	2
2.52305955894797	2
-0.978971083573332	2
1.72508985902869	2
2.62391024112376	2
-1.01664218576873	2
4.35821306878194	2
-4.92247743342737	2
-0.114245937283055	2
3.64834455306409	2
-0.417810722872863	2
1.09974088647129	2
-1.91119661888152	2
6.40105776032618	2
2.10920285036883	2
1.00532858964132	2
-1.64657701940058	2
-2.64978901883485	2
3.57833125796405	2
1.88590267594174	2
-0.930919582730906	2
